lead_id,customer_summary,agent_summary,stage
69,Called to inquire about a new patient exam and mentioned they had a few teeth that needed some work.,Gave the cost of a new patient exam and suggested they book a consultation to have a full treatment plan created.,2
70,Mentioned they were just looking for the clinic's address and did not have any other questions.,"Provided the full address and hours of operation, but did not move the conversation further.",0
71,Asked about the price for a dental cleaning and a general check-up for a family of three.,Provided the cost for each person and offered to book their appointments together to make it convenient.,2
72,Expressed a strong desire to fix their crooked teeth but was very nervous about the cost of braces.,"Presented multiple options like Invisalign and traditional braces, and discussed flexible payment plans to ease their financial concerns.",2
73,Inquired about the cost of a single implant and if they had a specialist on staff.,Gave a detailed price range for the implant and confirmed they have a periodontist who performs the procedure in-house.,2
74,Called to get a general quote for a full set of dentures and asked about financing options.,Provided a cost estimate for the dentures and explained the clinic's payment plans and financing options.,2
75,Asked about the process for dental veneers and the cost for a single tooth.,Walked them through the veneer process and provided a price estimate for one veneer.,1
76,Called to ask if they could be seen for a consult about a new patient exam to get a second opinion on a recommended crown.,Scheduled them for a new patient exam and noted their request for a second opinion.,2
77,Inquired about the cost of a professional whitening treatment and the process.,Provided a price and explained the different whitening options available at the clinic.,1
78,Expressed general curiosity about cosmetic dentistry and asked for a list of services.,Mentioned a few key cosmetic services and offered to send a full brochure via email.,0
79,Stated they had a sharp pain in a back tooth and needed to get in for an emergency appointment.,Recognized the urgency of the situation and scheduled them for an appointment as soon as possible.,2
80,Called to inquire about the clinic's operating hours and general location.,Provided the hours and address but did not ask about their specific needs.,0
81,Asked about the cost of a dental bridge and the time it takes to complete the process.,Gave a price range for the bridge and explained the multi-step process and timeline.,1
82,Expressed interest in fixing their crooked teeth and wanted to know more about different types of braces.,Described the various orthodontic options and scheduled a free consultation to discuss a treatment plan.,2
83,Stated they had a loose tooth from an injury and needed to be seen immediately.,Treated the situation as an emergency and instructed them to come in right away for an assessment.,2
84,Called to ask about the cost of a dental implant and if they had an in-house lab.,Gave a price estimate and confirmed they have an in-house lab to speed up the process.,2
85,Inquired about the different types of crowns available and the cost of a full porcelain one.,Provided the price range for a porcelain crown and explained the other materials they offer.,1
86,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam to get a precise quote.,1
87,Expressed interest in dental implants for a missing tooth and asked about the total cost.,"Gave a detailed cost estimate for the implant, abutment, and crown, and offered a free consultation.",2
88,Called to cancel a cleaning appointment and did not reschedule.,Confirmed the cancellation and noted that they would not be rescheduling at this time.,0
89,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave an estimated price and emphasized that they use high-quality materials to ensure a natural look.,2
90,Expressed a desire to get a brighter smile but was unsure about the process of whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
91,Called to ask if they could get their teeth professionally cleaned.,Scheduled them for a routine cleaning and check-up with the hygienist.,2
92,Stated they had a toothache that was getting worse and asked for an emergency appointment.,Found an immediate opening to see the dentist and asked them to come in for an assessment.,2
93,Had questions about the cost and process of getting dental veneers for their front teeth.,Provided a detailed cost estimate for the veneers and explained the timeline and appointments involved.,2
94,Called to inquire about the clinic's hours and if they are open on weekends.,Provided the clinic's hours and confirmed that they are open on Saturdays for a few hours.,0
95,Expressed interest in fixing a chipped front tooth and was concerned about the cost of the repair.,Provided an estimated cost for a dental filling or bonding and noted that a full exam would be needed.,1
96,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
97,Stated they were just doing research on dental implants and wanted a general price range.,"Provided a broad price range and offered to send them a detailed informational packet, but did not book a consultation.",0
98,Asked to book a new patient exam and check-up for themselves and their spouse.,Scheduled two new patient appointments for a future date and confirmed the details.,2
99,Had a general question about their insurance and whether a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
100,Called to find out if they could be seen for a consult about a new patient exam and to get a treatment plan.,Scheduled them for a new patient exam and consultation to address their needs.,2
101,Stated they had a loose tooth that needed to be checked immediately due to an accident.,Prioritized the situation as an emergency and found an immediate appointment slot to get them seen.,2
102,Expressed a strong desire to get a full smile makeover and asked about the cost and process of a complete set of veneers.,"Provided a detailed cost estimate for a full set of veneers and explained the comprehensive treatment process, and scheduled a consultation.",2
103,Had questions about the cost of a root canal and a crown and asked for a bundled price.,Gave a price range for both procedures and offered to create a precise treatment plan and quote during a consultation.,2
104,Called to get a quote for a single dental implant and asked if they have payment plans.,Gave a detailed cost estimate and explained the financing options available at the clinic.,2
105,Inquired about the different types of crowns and the cost of a porcelain one.,Gave a price range for the crown and explained the benefits of porcelain crowns for a natural look.,1
106,Asked about the cost of a dental cleaning and if they had any new patient specials.,Provided the cost for a cleaning and explained the new patient special they had running.,1
107,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
108,Expressed curiosity about invisible braces and asked about the process and cost.,"Described the different stages of aligner treatment and provided a price range, suggesting a free consultation.",2
109,Stated they had a broken filling and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for them to come in for the repair.,2
110,Inquired about a dental bridge to replace a missing tooth and asked for a quote and consultation.,Gave an estimated price and scheduled them for a consultation to discuss the procedure.,2
111,Had a general question about their insurance and whether they could use it for a cosmetic procedure.,Offered to verify their insurance and noted that cosmetic procedures are often not covered.,1
112,Called to ask if they could get a quote for a dental implant.,Gave a price range for a single implant and explained that a full exam is needed for a precise quote.,1
113,Stated they had a toothache and needed to be seen for an emergency appointment.,Found an immediate opening for them to come in and see the dentist for an assessment.,2
114,Asked about the cost of a full set of dentures and if they could pay in installments.,Provided a cost estimate and explained the payment plan options and financing partners available.,2
115,Called to book a new patient exam and cleaning for themselves and their child.,Scheduled them for two new patient appointments and confirmed the details of their visit.,2
116,Inquired about the cost of a wisdom tooth extraction and if they have a surgeon on staff.,Gave a price range for the extraction and confirmed they have a trusted oral surgeon who performs the procedure.,1
117,Had a general question about the clinic's policies regarding insurance and what they accept.,Provided a list of the major insurance providers they are in-network with and offered to verify their plan.,0
118,Expressed interest in dental implants but was concerned about the cost and the pain involved.,Reassured them about the pain management during the procedure and discussed various financing options to address their financial concerns.,2
119,Stated they had a broken crown and needed to get it fixed as soon as possible.,Found an urgent appointment slot for them to come in and see the dentist for a crown repair.,2
120,Called to ask if they could be seen for a consult about a new patient exam and to get a treatment plan.,Scheduled them for a new patient exam and consultation to create a comprehensive treatment plan.,2
121,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a detailed cost estimate for the veneers and directed them to the clinic's online portfolio.,2
122,Called to confirm the clinic's location and what public transportation is nearby.,Gave the address and directions from the nearest bus and train stops.,0
123,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
124,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
125,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
126,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
127,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
128,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
129,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
130,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
131,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
132,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
133,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
134,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
135,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
136,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
137,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
138,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
139,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
140,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
141,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
142,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
143,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
144,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
145,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
146,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
147,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
148,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
149,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
150,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
151,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
152,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
153,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
154,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
155,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
156,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
157,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
158,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
159,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
160,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
161,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
162,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
163,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
164,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
165,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
166,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
167,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
168,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
169,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
170,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
171,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
172,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
173,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
174,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
175,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
176,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
177,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
178,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
179,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
180,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
181,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
182,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
183,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
184,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
185,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
186,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
187,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
188,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
189,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
190,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
191,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
192,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
193,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
194,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
195,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
196,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
197,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
198,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
199,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
200,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
201,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
202,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
203,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
204,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
205,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
206,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
207,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
208,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
209,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
210,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
211,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
212,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
213,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
214,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
215,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
216,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
217,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
218,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
219,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
220,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
221,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
222,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
223,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
224,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
225,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
